"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"73","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_igrejinha_2012_video4","BrazilianCoast","igrejinha","costa_corais","igrejinha",2012,2012-03-08,1.5,1.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"74","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_igrejinha_2013_video1","BrazilianCoast","igrejinha","costa_corais","igrejinha",2013,2013-03-08,1.5,1.5,"video plot",1,2,NA,NA,"decimal degrees","Brazil","BR"
"75","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video1","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-09,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"76","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video2","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-10,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"77","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video3","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-10,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"78","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video4","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-10,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"79","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video6","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-10,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"80","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2012_video7","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2012,2012-03-10,2,2,"video plot",6,2,NA,NA,"decimal degrees","Brazil","BR"
"81","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2013_video1","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2013,2013-03-10,2,2,"video plot",5,2,NA,NA,"decimal degrees","Brazil","BR"
"82","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2013_video2","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2013,2013-03-10,2,2,"video plot",5,2,NA,NA,"decimal degrees","Brazil","BR"
